컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:03:00,0.00,3.00,서울 집값이 매년,서울 아파트 단지 항공 스톡 + 하단 '2026.09.06' 날짜 자막,img-0-cover.png
2,00:00:03:00,00:00:06:00,3.00,3.00,11%씩 오르면?,상승 그래프 애니메이션 + '연 11%' 강조 텍스트,
3,00:00:06:00,00:00:09:00,6.00,3.00,"2030년, 서울 25개구 중",서울시 25개구 지도 실루엣 + '2030년' 텍스트 카드,img-1-stat-card.png
4,00:00:09:00,00:00:12:00,9.00,3.00,22개구가 종부세 대상,서울 지도에서 22개구 빨간색 음영 처리,
5,00:00:12:00,00:00:15:00,12.00,3.00,될 수 있다는 분석,'분석' 텍스트 + 하단 출처 자막 '뉴스1',img-3-index-comparison.png
6,00:00:15:00,00:00:18:00,15.00,3.00,강남권뿐 아니라,강남 아파트 단지 스톡 컷,
7,00:00:18:00,00:00:21:00,18.00,3.00,비강남권도 다수 포함,노원구·은평구 등 비강남권 아파트 단지 스톡,
8,00:00:21:00,00:00:24:00,21.00,3.00,종부세란?,화면 전환 + '용어설명' 자막 카드,img-district-map.png
9,00:00:24:00,00:00:27:00,24.00,3.00,비싼 집·다주택자에게,집 아이콘 + 사람 아이콘 그래픽,img-index-comparison.png
10,00:00:27:00,00:00:30:00,27.00,3.00,매기는 세금입니다,'종합부동산세' 텍스트 강조 카드,img-stat-card.png
11,00:00:30:00,00:00:33:00,30.00,3.00,제외 지역은 단 3곳,서울 지도에서 3개구만 초록색 강조,
12,00:00:33:00,00:00:36:00,33.00,3.00,강북구·금천구·도봉구,세 자치구 명칭 자막 카드,img-0-cover.png
13,00:00:36:00,00:00:39:00,36.00,3.00,이 전망은 가정치입니다,화면에 '가정' 워터마크 오버레이,
14,00:00:39:00,00:00:42:00,39.00,3.00,매년 11% 상승 가정,그래프 위에 '가정: 연 11%↑' 자막,img-1-stat-card.png
15,00:00:42:00,00:00:45:00,42.00,3.00,실제 상승률 다르면,물음표 그래픽 + 흔들리는 그래프 애니메이션,img-3-index-comparison.png
16,00:00:45:00,00:00:48:00,45.00,3.00,결과도 달라집니다,'변동 가능' 텍스트 카드,img-district-map.png
17,00:00:48:00,00:00:51:00,48.00,3.00,"종부세, 이제","서울 전경 스톡, 어두운 톤 필터",
18,00:00:51:00,00:00:58:00,51.00,7.00,강남만의 얘기 아닐수도,서울 전체 지도 페이드아웃 + 채널 로고,
