씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,"서울 아파트,",서울 지도 위에 '신고가' 문구가 번쩍이며 강조됨
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,또 신고가랍니다,
2,3,00:00:03:00,00:00:05:00,3.00,2.00,7.00,송파 헬리오시티는,큰 숫자: 헬리오시티 39.12㎡ / 20억 3천만원 / 최근 3년 신고가 / 출처: 국토부 실거래가 시스템 + 사진(헬리오시티): 헬리오시티 단지 전경
2,4,00:00:05:00,00:00:06:00,5.00,1.00,,20억 3천만원에,
2,5,00:00:06:00,00:00:07:00,6.00,1.00,,손바뀜했습니다,
2,6,00:00:07:00,00:00:08:00,7.00,1.00,,최근 3년 새,
2,7,00:00:08:00,00:00:10:00,8.00,2.00,,가장 높은 값입니다,
3,8,00:00:10:00,00:00:11:00,10.00,1.00,6.00,"구로, 동작, 관악에서도","목록: 최근 3년 신고가 단지 / 구로두산, 헬리오시티, 오금동 현대백조, 사당자이, 대방1차, 서울대입구2차 + 서울 지도에 구로·송파·동작·관악 네 자치구가 차례로 켜짐"
3,9,00:00:11:00,00:00:12:00,11.00,1.00,,같은 일이,
3,10,00:00:12:00,00:00:13:00,12.00,1.00,,벌어졌습니다,
3,11,00:00:13:00,00:00:14:00,13.00,1.00,,6개 단지가,
3,12,00:00:14:00,00:00:15:00,14.00,1.00,,일제히 신고가를,
3,13,00:00:15:00,00:00:16:00,15.00,1.00,,썼습니다,
4,14,00:00:16:00,00:00:17:00,16.00,1.00,7.00,그런데,달력이 7월에서 8월로 넘어가며 물음표 아이콘 등장
4,15,00:00:17:00,00:00:18:00,17.00,1.00,,실제 계약 건수는,
4,16,00:00:18:00,00:00:19:00,18.00,1.00,,어떨까요,
4,17,00:00:19:00,00:00:21:00,19.00,2.00,,"8월 1일부터 24일,",
4,18,00:00:21:00,00:00:22:00,21.00,1.00,,7월 같은 기간과,
4,19,00:00:22:00,00:00:23:00,22.00,1.00,,비교해봤습니다,
5,20,00:00:23:00,00:00:24:00,23.00,1.00,6.00,송파구는,"막대: 8월 1~24일 계약건수 / 송파 132건, 노원 424건 / 출처: 국토교통부 실거래가 신고 자료 + 각 막대 옆에 7월 대비 감소분(-115, -110)이 빨간 화살표로 표시됨"
5,21,00:00:24:00,00:00:25:00,24.00,1.00,,132건으로,
5,22,00:00:25:00,00:00:26:00,25.00,1.00,,115건 줄었고,
5,23,00:00:26:00,00:00:27:00,26.00,1.00,,노원구도,
5,24,00:00:27:00,00:00:28:00,27.00,1.00,,424건으로,
5,25,00:00:28:00,00:00:29:00,28.00,1.00,,110건 줄었습니다,
6,26,00:00:29:00,00:00:30:00,29.00,1.00,6.00,"영등포, 동작 모두","막대: 8월 1~24일 계약건수 / 영등포 91건, 동작 89건 / 출처: 국토교통부 실거래가 신고 자료 + 7월 대비 감소분(-110, -43)이 빨간 화살표로 표시됨"
6,27,00:00:30:00,00:00:31:00,30.00,1.00,,7월보다,
6,28,00:00:31:00,00:00:32:00,31.00,1.00,,적었습니다,
6,29,00:00:32:00,00:00:33:00,32.00,1.00,,신고가는 늘어도,
6,30,00:00:33:00,00:00:34:00,33.00,1.00,,계약 자체는,
6,31,00:00:34:00,00:00:35:00,34.00,1.00,,줄어든 셈입니다,
7,32,00:00:35:00,00:00:36:00,35.00,1.00,8.00,여기서 신고가는,큰 숫자: 노원구 청솔(시영7) 39.78㎡ / 5.8억원 / 직전 거래 대비 +24.2% / 출처: 국토교통부 실거래가 신고 자료 + '신고가=직전 거래보다 높음' 설명 문구가 함께 뜸
7,33,00:00:36:00,00:00:38:00,36.00,2.00,,"같은 단지, 같은 면적의",
7,34,00:00:38:00,00:00:39:00,38.00,1.00,,직전 거래보다 높다는,
7,35,00:00:39:00,00:00:41:00,39.00,2.00,,뜻일 뿐입니다,
7,36,00:00:41:00,00:00:42:00,41.00,1.00,,노원구 청솔은,
7,37,00:00:42:00,00:00:43:00,42.00,1.00,,직전보다 24% 올랐습니다,
8,38,00:00:43:00,00:00:44:00,43.00,1.00,7.00,지역 전체가,상승하는 가격 그래프와 하락하는 거래량 막대가 교차하며 함께 표시됨
8,39,00:00:44:00,00:00:45:00,44.00,1.00,,올랐다는 뜻은,
8,40,00:00:45:00,00:00:46:00,45.00,1.00,,아닙니다,
8,41,00:00:46:00,00:00:47:00,46.00,1.00,,"가격과 거래량,",
8,42,00:00:47:00,00:00:48:00,47.00,1.00,,함께 봐야 하는,
8,43,00:00:48:00,00:00:50:00,48.00,2.00,,이유입니다,
9,44,00:00:50:00,00:00:52:00,50.00,2.00,7.00,가격만큼 거래량도 함께,마무리 — 채널 로고 + 다음 브리핑 안내
9,45,00:00:52:00,00:00:54:00,52.00,2.00,,"챙겨보세요, 부돌보",
9,46,00:00:54:00,00:00:57:00,54.00,3.00,,브리핑이었습니다,
