씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:02:00,0.00,2.00,3.00,서울 아파트값이,큰 숫자: 서울 아파트값 / 0.16% / 84주 연속 상승(9월14일 기준) / 출처: 한국부동산원 + 숫자가 카운트업된 뒤 '84주' 글자가 크게 강조됨
1,2,00:00:02:00,00:00:03:00,2.00,1.00,,84주째 올랐습니다,
2,3,00:00:03:00,00:00:05:00,3.00,2.00,8.00,그런데 전문가들은,큰 숫자: 전월세 동반 상승 전망 / 100% / 전문가 50명 전원 응답 / 출처: 매일경제 + 물음표 아이콘이 100%로 바뀌는 연출
2,4,00:00:05:00,00:00:07:00,5.00,2.00,,내년 전망을 물었더니,
2,5,00:00:07:00,00:00:09:00,7.00,2.00,,서울 전셋값도 월세도,
2,6,00:00:09:00,00:00:11:00,9.00,2.00,,오른다고 답했습니다,
3,7,00:00:11:00,00:00:13:00,11.00,2.00,8.00,얼마나 오를까요,"막대: 5% 이상 상승 전망 응답률 / 전세 44%, 월세 48% / 출처: 매일경제 + 두 막대가 나란히 차오름"
3,8,00:00:13:00,00:00:14:00,13.00,1.00,,전세는 5% 이상이,
3,9,00:00:14:00,00:00:15:00,14.00,1.00,,"44%,",
3,10,00:00:15:00,00:00:17:00,15.00,2.00,,월세는 5% 이상이,
3,11,00:00:17:00,00:00:19:00,17.00,2.00,,48%였습니다,
4,12,00:00:19:00,00:00:20:00,19.00,1.00,9.00,실제 거래에서도,큰 숫자: 마포 한화오벨리스크 79.9㎡ / 15.5억 / 이전 거래 대비 +19.2%(8월29일 계약) / 출처: 국토교통부 실거래가 + 사진(한화오벨리스크): 한화오벨리스크 단지 전경
4,13,00:00:20:00,00:00:21:00,20.00,1.00,,확인됩니다,
4,14,00:00:21:00,00:00:22:00,21.00,1.00,,마포구 한화오벨리스크는,
4,15,00:00:22:00,00:00:23:00,22.00,1.00,,직전 거래보다,
4,16,00:00:23:00,00:00:25:00,23.00,2.00,,2억 5천만원 오른,
4,17,00:00:25:00,00:00:26:00,25.00,1.00,,15억 5천만원에,
4,18,00:00:26:00,00:00:28:00,26.00,2.00,,팔렸습니다,
5,19,00:00:28:00,00:00:30:00,28.00,2.00,7.00,하지만 지역마다,"막대: 9월14일 기준 주간 변동률 / 강남구 -0.36%, 중랑구 0.51% / 출처: 한국부동산원 + 강남구 막대는 붉은색 하락, 중랑구 막대는 초록색 상승으로 대비"
5,20,00:00:30:00,00:00:31:00,30.00,1.00,,온도차는 있습니다,
5,21,00:00:31:00,00:00:33:00,31.00,2.00,,강남구는 0.36% 내렸고,
5,22,00:00:33:00,00:00:35:00,33.00,2.00,,중랑구는 0.51% 올랐습니다,
6,23,00:00:35:00,00:00:37:00,35.00,2.00,7.00,8월 세제개편 이후,비교: 강남3구 vs 외곽지역 / 강남3구: 세제개편 이후 하락 전환 | 외곽지역: 상승폭 확대 + 서울 지도 위 강남3구와 외곽 지역이 서로 다른 색으로 표시됨
6,24,00:00:37:00,00:00:38:00,37.00,1.00,,강남 3구는 하락 전환했지만,
6,25,00:00:38:00,00:00:40:00,38.00,2.00,,외곽은 오히려,
6,26,00:00:40:00,00:00:42:00,40.00,2.00,,상승폭이 컸습니다,
7,27,00:00:42:00,00:00:44:00,42.00,2.00,7.00,다음 주에도 오르면,"추세: 서울 아파트값 연속 상승 주수 / 지난주 84주, 다음주(예상) 85주 / 단위: 주 / 출처: 한국부동산원 + 그래프 끝에 물음표가 남으며 마무리"
7,28,00:00:44:00,00:00:45:00,44.00,1.00,,84주에서 85주로,
7,29,00:00:45:00,00:00:47:00,45.00,2.00,,역대 최장 기록과,
7,30,00:00:47:00,00:00:49:00,47.00,2.00,,같아집니다,
8,31,00:00:49:00,00:00:52:00,49.00,3.00,8.00,"다음 주 부동산원 통계,",마무리 — 채널 로고 + 다음 브리핑 안내
8,32,00:00:52:00,00:00:54:00,52.00,2.00,,저희가 이어서 확인해,
8,33,00:00:54:00,00:00:57:00,54.00,3.00,,드리겠습니다,
