컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:01:00,0.00,1.00,서울 아파트값이,서울 시내 아파트 단지 항공 스톡 + 상단에 '83주 연속 상승' 자막 카드,img-0-cover.png
2,00:00:01:00,00:00:03:00,1.00,2.00,83주 연속 올랐습니다,서울 시내 아파트 단지 항공 스톡 + 상단에 '83주 연속 상승' 자막 카드,img-1-stat-card.png
3,00:00:03:00,00:00:05:00,3.00,2.00,문재인 정부 때 세운,"최근 상승 주차 추이를 나타내는 그래프 그래픽, 85주 지점에 점선 표시",img-2-stat-card.png
4,00:00:05:00,00:00:07:00,5.00,2.00,최장 기록 85주에,"최근 상승 주차 추이를 나타내는 그래프 그래픽, 85주 지점에 점선 표시",img-stat-card.png
5,00:00:07:00,00:00:09:00,7.00,2.00,이제 2주 남았습니다,"최근 상승 주차 추이를 나타내는 그래프 그래픽, 85주 지점에 점선 표시",img-stats-history.png
6,00:00:09:00,00:00:11:00,9.00,2.00,이대로면 역대 최장 기록도,달력 아이콘 애니메이션 + '2주 후' 텍스트,
7,00:00:11:00,00:00:13:00,11.00,2.00,넘어설 수 있다는 전망이,달력 아이콘 애니메이션 + '2주 후' 텍스트,
8,00:00:13:00,00:00:15:00,13.00,2.00,나옵니다,달력 아이콘 애니메이션 + '2주 후' 텍스트,
9,00:00:15:00,00:00:17:00,15.00,2.00,특히 강북구가,강북구 지도 확대 컷 + '0.46% 최고 상승률' 자막 카드,img-stats-index.png
10,00:00:17:00,00:00:19:00,17.00,2.00,0.46% 올라,강북구 지도 확대 컷 + '0.46% 최고 상승률' 자막 카드,img-stats-jeonse.png
11,00:00:19:00,00:00:21:00,19.00,2.00,서울에서 가장 많이,강북구 지도 확대 컷 + '0.46% 최고 상승률' 자막 카드,img-stats-map-jeonse.png
12,00:00:21:00,00:00:23:00,21.00,2.00,뛰었고,강북구 지도 확대 컷 + '0.46% 최고 상승률' 자막 카드,img-stats-map.png
13,00:00:23:00,00:00:25:00,23.00,2.00,미아동은,미아동 아파트 단지 스톡 컷 + '10억원 시대' 자막 카드,img-stats-supply.png
14,00:00:25:00,00:00:27:00,25.00,2.00,10억원 시대에,미아동 아파트 단지 스톡 컷 + '10억원 시대' 자막 카드,img-stats-volume.png
15,00:00:27:00,00:00:29:00,27.00,2.00,접어들었다는 보도도,미아동 아파트 단지 스톡 컷 + '10억원 시대' 자막 카드,img-0-cover.png
16,00:00:29:00,00:00:31:00,29.00,2.00,나왔습니다,미아동 아파트 단지 스톡 컷 + '10억원 시대' 자막 카드,img-1-stat-card.png
17,00:00:31:00,00:00:33:00,31.00,2.00,다만 강남3구는,강남3구 지도 표시 + 하락 화살표 아이콘,img-2-stat-card.png
18,00:00:33:00,00:00:36:00,33.00,3.00,하락했다는 보도도 있어,강남3구 지도 표시 + 하락 화살표 아이콘,img-stat-card.png
19,00:00:36:00,00:00:38:00,36.00,2.00,지역별 온도차가,"서울 지도 위에 지역별 색상 대비(상승-빨강, 하락-파랑) 그래픽",img-stats-history.png
20,00:00:38:00,00:00:40:00,38.00,2.00,있습니다,"서울 지도 위에 지역별 색상 대비(상승-빨강, 하락-파랑) 그래픽",img-stats-index.png
21,00:00:40:00,00:00:42:00,40.00,2.00,오세훈 서울시장은,오세훈 서울시장 관련 뉴스 캡처 화면,
22,00:00:42:00,00:00:45:00,42.00,3.00,86주 연속 상승이라며,오세훈 서울시장 관련 뉴스 캡처 화면 + '86주' 숫자 강조,
23,00:00:45:00,00:00:47:00,45.00,2.00,정책 재검토를,오세훈 서울시장 관련 뉴스 캡처 화면 + '86주' 숫자 강조,
24,00:00:47:00,00:00:49:00,47.00,2.00,요구했는데,오세훈 서울시장 관련 뉴스 캡처 화면 + '86주' 숫자 강조,
25,00:00:49:00,00:00:52:00,49.00,3.00,이 수치는 언론 통계와 달라,83주 vs 86주 숫자 비교 자막 카드,img-stats-jeonse.png
26,00:00:52:00,00:00:54:00,52.00,2.00,확인이 필요합니다,83주 vs 86주 숫자 비교 자막 카드 + '확인 필요' 워터마크,img-stats-map-jeonse.png
27,00:00:54:00,00:00:57:00,54.00,3.00,여러분 지역 상황은,댓글창 아이콘 유도 그래픽,img-stats-map.png
28,00:00:57:00,00:01:00:00,57.00,3.00,댓글로 알려주세요,구독·알림 버튼 애니메이션,
