컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,중랑구의 한 아파트가,중랑구 아파트 단지 외경 스톡 영상,
2,00:00:02:00,00:00:04:00,2.00,2.00,직전 거래보다,국토교통부 실거래가 공개시스템 화면 캡처,
3,00:00:04:00,00:00:06:00,4.00,2.00,3억 4천만원 올라,상승 화살표 자막 카드 '+3억 4천만원',img-0-cover.png
4,00:00:06:00,00:00:08:00,6.00,2.00,8억 2천만원에,'8억 2천만원' 큰 숫자 자막 카드,img-1-stat-card.png
5,00:00:08:00,00:00:10:00,8.00,2.00,팔렸습니다,계약서 도장 스톡 이미지,
6,00:00:10:00,00:00:12:00,10.00,2.00,국토교통부,국토교통부 로고 자막 카드,img-3-stat-card.png
7,00:00:12:00,00:00:15:00,12.00,3.00,실거래가 신고 자료 기준,'국토교통부 실거래가 신고 자료 기준' 출처 자막,img-stat-card.png
8,00:00:15:00,00:00:18:00,15.00,3.00,극동늘푸른 84제곱미터로,아파트 단지명 자막 카드,img-stats-index.png
9,00:00:18:00,00:00:20:00,18.00,2.00,상승률은 71.9퍼센트,'+71.9%' 큰 숫자 강조 자막 카드,img-stats-map-jeonse.png
10,00:00:20:00,00:00:22:00,20.00,2.00,브리핑에도 중랑구와,뉴스 브리핑 화면 스톡,
11,00:00:22:00,00:00:24:00,22.00,2.00,종로구에서,종로구 도심 스톡 영상,
12,00:00:24:00,00:00:27:00,24.00,3.00,최근 3년 신고가 거래가,'최근 3년 신고가' 자막 카드,img-stats-map.png
13,00:00:27:00,00:00:30:00,27.00,3.00,잇따랐다는 소식이 나왔죠,신문·기사 캡처 스톡,
14,00:00:30:00,00:00:33:00,30.00,3.00,창신쌍용2는 8억 9천만원,'창신쌍용2 8억 9천만원' 자막 카드,img-stats-supply.png
15,00:00:33:00,00:00:35:00,33.00,2.00,신내동 동성3는,신내동 아파트 단지 스톡,
16,00:00:35:00,00:00:37:00,35.00,2.00,6억 5천만원에,'6억 5천만원' 자막 카드,img-stats-volume.png
17,00:00:37:00,00:00:40:00,37.00,3.00,새 주인을 찾았습니다,열쇠 건네는 손 스톡 이미지,
18,00:00:40:00,00:00:42:00,40.00,2.00,다만 신고가는,'주의' 아이콘 자막 카드,img-0-cover.png
19,00:00:42:00,00:00:45:00,42.00,3.00,"같은 단지, 같은 면적의",같은 평면도 비교 그래픽,img-1-stat-card.png
20,00:00:45:00,00:00:47:00,45.00,2.00,이전 거래보다 높았다는 뜻일 뿐,이전가↔현재가 비교 화살표 그래픽,img-3-stat-card.png
21,00:00:47:00,00:00:49:00,47.00,2.00,지역 전체가 올랐다는,서울 지도 위 중랑구 표시,img-stat-card.png
22,00:00:49:00,00:00:52:00,49.00,3.00,뜻은 아닙니다,'X' 표시 자막 카드,img-stats-index.png
23,00:00:52:00,00:00:55:00,52.00,3.00,실제 중랑구 거래 건수는,'거래 78건' 자막 카드,img-stats-map-jeonse.png
24,00:00:55:00,00:00:57:00,55.00,2.00,7월 1일부터 15일까지보다,'7월 1~15일 대비' 자막 카드,img-stats-map.png
25,00:00:57:00,00:01:00:00,57.00,3.00,오히려 줄었습니다,하락 화살표 자막 카드 '-307건',img-stats-supply.png
