컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,서울 집값 상승세가,"서울 아파트 스카이라인 스톡 + 제목 자막 '서울 집값, 5개월 만에'",img-0-cover.png
2,00:00:02:00,00:00:03:00,2.00,1.00,5개월 만에,동일 화면 유지,
3,00:00:03:00,00:00:05:00,3.00,2.00,주춤하고 있습니다,"동일 화면 유지, 숫자 카드 대기",img-1-stat-card.png
4,00:00:05:00,00:00:08:00,5.00,3.00,8월 서울 주택 매매가는,그래프 상승 곡선 애니메이션 스톡,
5,00:00:08:00,00:00:10:00,8.00,2.00,0.97% 올랐는데,화면 좌상단 '+0.97%' 자막 카드,img-3-stat-card.png
6,00:00:10:00,00:00:12:00,10.00,2.00,상승폭은 줄었습니다,그래프 곡선 완만해지는 애니메이션,
7,00:00:12:00,00:00:15:00,12.00,3.00,특히 강남구와 서초구는,강남·서초 아파트 단지 항공 스톡,
8,00:00:15:00,00:00:18:00,15.00,3.00,아예 하락으로 돌아섰는데요,화살표 하락 아이콘 자막,img-stat-card.png
9,00:00:18:00,00:00:21:00,18.00,3.00,강남구는 0.18% 내렸습니다,좌하단 '-0.18%' 자막 카드,img-stats-history.png
10,00:00:21:00,00:00:23:00,21.00,2.00,세제개편안 발표 이후,서류·세금 계산기 스톡 이미지,
11,00:00:23:00,00:00:26:00,23.00,3.00,세 부담 우려가 커진 영향으로,동일 화면 유지,
12,00:00:26:00,00:00:28:00,26.00,2.00,풀이됩니다,동일 화면 유지,
13,00:00:28:00,00:00:30:00,28.00,2.00,반면 서울 외곽은,노원·강서 등 외곽 아파트 단지 스톡,
14,00:00:30:00,00:00:33:00,30.00,3.00,오히려 상승세를 이어갔죠,화살표 상승 아이콘 자막,img-stats-index.png
15,00:00:33:00,00:00:36:00,33.00,3.00,국토교통부 실거래 신고를 보면,국토교통부 실거래가 공개시스템 화면 캡처,
16,00:00:36:00,00:00:39:00,36.00,3.00,8월 1일부터 16일까지,달력 아이콘 + 날짜 자막,img-stats-jeonse.png
17,00:00:39:00,00:00:43:00,39.00,4.00,강남구 아파트 거래는 52건으로,표: '강남구 52건' 자막 카드,img-stats-map-jeonse.png
18,00:00:43:00,00:00:46:00,43.00,3.00,7월 같은 기간보다,표: '7월 96건' 비교 자막 카드,img-stats-map.png
19,00:00:46:00,00:00:49:00,46.00,3.00,44건 줄었습니다,'-44건' 강조 자막,img-stats-supply.png
20,00:00:49:00,00:00:51:00,49.00,2.00,서울 부동산 시장의,서울 전경 스톡,
21,00:00:51:00,00:00:58:00,51.00,7.00,온도차가 뚜렷해지고 있습니다,'강남 ↓ 외곽 ↑' 자막 카드로 마무리,img-stats-volume.png
