컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:03:00,00:00:05:00,3.00,2.00,2026년 9월 8일 등록거래,국토부 실거래가 시스템 화면 캡처 느낌 그래픽,img-0-cover.png
2,00:00:05:00,00:00:07:00,5.00,2.00,국토부 실거래가 기준입니다,하단에 '국토부 실거래가 기준' 자막 고정,img-2-stat-card.png
3,00:00:07:00,00:00:09:00,7.00,2.00,"신고가란, 직전 거래보다",용어설명 자막 카드 등장 애니메이션,img-stat-card-2.png
4,00:00:09:00,00:00:11:00,9.00,2.00,더 비싸게 팔린 걸 말해요,이전가→현재가 화살표 상승 그래픽,img-stat-card.png
5,00:00:11:00,00:00:13:00,11.00,2.00,노원구 상계동 한양,서울 지도 노원구 핀 + 단지명 자막,img-stats-history.png
6,00:00:13:00,00:00:15:00,13.00,2.00,8억 4천만원 거래,8.4억 숫자 카운트업 애니메이션,
7,00:00:15:00,00:00:17:00,15.00,2.00,중랑구 신내동 새한,서울 지도 중랑구 핀 + 단지명 자막,img-stats-index.png
8,00:00:17:00,00:00:19:00,17.00,2.00,7억 1천만원 거래,7.1억 숫자 카운트업 애니메이션,
9,00:00:19:00,00:00:21:00,19.00,2.00,도봉구 창동 동아그린,서울 지도 도봉구 핀 + 단지명 자막,img-stats-jeonse.png
10,00:00:21:00,00:00:23:00,21.00,2.00,8억 5천만원 거래,8.5억 숫자 카운트업 애니메이션,
11,00:00:23:00,00:00:25:00,23.00,2.00,영등포 당산푸르지오,서울 지도 영등포구 핀 + 단지명 자막,img-stats-map-jeonse.png
12,00:00:25:00,00:00:27:00,25.00,2.00,18억 1천만원 거래,18.1억 숫자 크게 강조 그래픽,img-stats-map.png
13,00:00:27:00,00:00:29:00,27.00,2.00,용산 이촌동 우성,서울 지도 용산구 핀 + 단지명 자막,img-stats-supply.png
14,00:00:29:00,00:00:31:00,29.00,2.00,22억 7천만원 거래,"22.7억 숫자 가장 크게, 붉은색 강조",
15,00:00:31:00,00:00:33:00,31.00,2.00,모두 최근 3년 최고가,5개 단지 가격 나열 요약 표 그래픽,img-stats-volume.png
16,00:00:33:00,00:00:35:00,33.00,2.00,국지적 상승 신호일 뿐,서울 지도에 해당 5개 구만 하이라이트,
17,00:00:35:00,00:00:37:00,35.00,2.00,서울 전체 상승은 아니에요,'서울 전체 아님' 경고 자막 카드,img-0-cover.png
18,00:00:37:00,00:00:39:00,37.00,2.00,거래 세부정보는 요약 수준,출처 표기 작은 자막,img-2-stat-card.png
19,00:00:39:00,00:00:48:00,39.00,9.00,매수 전 꼭 확인하세요,'직접 확인하세요' 자막 + 국토부 실거래가 사이트 아이콘,img-stat-card-2.png
