컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:03:00,00:00:05:00,3.00,2.00,서울시장이 오늘,오세훈 시장 인터뷰 스톡컷,
2,00:00:05:00,00:00:07:00,5.00,2.00,이렇게 말했습니다.,동일 컷 유지 + 하단 자막 강조,img-0-cover.png
3,00:00:07:00,00:00:09:00,7.00,2.00,서울 아파트 평균월세,서울 아파트 단지 항공 스톡,
4,00:00:09:00,00:00:11:00,9.00,2.00,162만원이라고요.,화면 중앙 '162만원' 대형 숫자 자막,img-2-stat-card.png
5,00:00:11:00,00:00:13:00,11.00,2.00,'주거지옥' 표현까지,뉴스 자막 캡처 스타일 그래픽,img-3-stat-card.png
6,00:00:13:00,00:00:15:00,13.00,2.00,썼습니다.,동일 유지,
7,00:00:15:00,00:00:17:00,15.00,2.00,전세는 씨가 마르고,빈 부동산 중개업소 매물판 스톡,
8,00:00:17:00,00:00:19:00,17.00,2.00,월세만 남았다는 뜻,매물판 '월세' 항목만 확대 강조,
9,00:00:19:00,00:00:21:00,19.00,2.00,왜 이런 일이,물음표 그래픽 자막,img-stat-card.png
10,00:00:21:00,00:00:23:00,21.00,2.00,벌어졌을까요.,동일 유지,
11,00:00:23:00,00:00:25:00,23.00,2.00,집값 급등에,아파트 시세 그래프 상승 애니메이션,
12,00:00:25:00,00:00:28:00,25.00,3.00,전세보증금 마련 어려워,계산기와 통장 스톡 이미지,
13,00:00:28:00,00:00:30:00,28.00,2.00,집주인들은 전세보다,집주인-세입자 아이콘 그래픽,img-stats-index.png
14,00:00:30:00,00:00:33:00,30.00,3.00,월세를 선호합니다,월세 화살표 상승 아이콘,img-stats-map-jeonse.png
15,00:00:33:00,00:00:35:00,33.00,2.00,그 결과 세입자는,세입자 뒷모습 스톡,
16,00:00:35:00,00:00:38:00,35.00,3.00,매달 162만원 부담,달력과 162만원 숫자 카드,img-stats-map.png
17,00:00:38:00,00:00:40:00,38.00,2.00,서울 전월세 앞두셨다면,부동산 계약서 스톡,
18,00:00:40:00,00:00:43:00,40.00,3.00,이 흐름 꼭 확인하세요,체크리스트 그래픽,img-stats-supply.png
19,00:00:43:00,00:00:46:00,43.00,3.00,정책대출 기준은 그대로,은행 대출 창구 스톡,
20,00:00:46:00,00:00:49:00,46.00,3.00,서민 부담 더 커져요,하락 화살표와 한숨 이모지 그래픽,img-stats-volume.png
21,00:00:49:00,00:00:52:00,49.00,3.00,전문가들은 전세의,전문가 인터뷰 스톡컷,
22,00:00:52:00,00:00:58:00,52.00,6.00,월세화 지속 전망,동일 컷 유지 + 자막 강조,img-0-cover.png
