씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,집값은 19개월째,화면에 물음표와 함께 상승 그래프 실루엣이 어렴풋이 비침
1,2,00:00:01:00,00:00:02:00,1.00,1.00,,오르는데,
1,3,00:00:02:00,00:00:03:00,2.00,1.00,,계약은 왜 줄었을까요,
2,4,00:00:03:00,00:00:05:00,3.00,2.00,6.00,건산연 3분기 조사에 따르면,큰 숫자: 수도권 아파트 매매가 / 19개월 / 연속 상승 / 출처: 건산연
2,5,00:00:05:00,00:00:07:00,5.00,2.00,,수도권 아파트 매매가가,
2,6,00:00:07:00,00:00:09:00,7.00,2.00,,19개월 연속 올랐습니다,
3,7,00:00:09:00,00:00:11:00,9.00,2.00,5.00,전월세 중 월세 비중도,큰 숫자: 월세 비중 / 67.6% / 전월세 중 비중 / 출처: 서울뉴스통신
3,8,00:00:11:00,00:00:14:00,11.00,3.00,,67.6%까지 높아졌죠,
4,9,00:00:14:00,00:00:16:00,14.00,2.00,8.00,그런데 실제 계약 건수는,"막대: 8월 1~22일 계약 건수(7월 대비) / 노원 400건(-96), 구로 151건(-121), 송파 125건(-97), 강서 207건(-62), 마포 87건(-19) / 출처: 국토교통부 실거래가"
4,10,00:00:16:00,00:00:18:00,16.00,2.00,,국토부 실거래가 신고 기준,
4,11,00:00:18:00,00:00:20:00,18.00,2.00,,7월보다 8월 초중순이,
4,12,00:00:20:00,00:00:22:00,20.00,2.00,,다섯 개 구 모두 줄었습니다,
5,13,00:00:22:00,00:00:24:00,22.00,2.00,7.00,값이 안 뛴 건 아닙니다,큰 숫자: 구로 영화 143.09㎡ / 10.8억 / 직전 거래 대비 +30.1% / 출처: 국토교통부 실거래가 + 사진(영화): 구로구 영화아파트 단지 사진
5,14,00:00:24:00,00:00:26:00,24.00,2.00,,구로구 영화 143㎡는,
5,15,00:00:26:00,00:00:28:00,26.00,2.00,,직전보다 30.1% 오른,
5,16,00:00:28:00,00:00:29:00,28.00,1.00,,10억 8천만원에 계약됐죠,
6,17,00:00:29:00,00:00:31:00,29.00,2.00,6.00,"마곡서광은 26.7%,","목록: 8~9월 신고가 거래 / 마곡서광 84.93㎡ 7.6억(+26.7%), 상계주공12 41.3㎡ 5.8억(+21.9%) / 출처: 국토교통부 실거래가"
6,18,00:00:31:00,00:00:33:00,31.00,2.00,,상계주공12는 21.9%,
6,19,00:00:33:00,00:00:35:00,33.00,2.00,,직전 거래보다 올랐습니다,
7,20,00:00:35:00,00:00:37:00,35.00,2.00,7.00,다만 신고가는,"체크: 신고가란 / 같은 단지·같은 면적 비교, 지역 전체 상승 의미 아님"
7,21,00:00:37:00,00:00:39:00,37.00,2.00,,"같은 단지, 같은 면적에서",
7,22,00:00:39:00,00:00:41:00,39.00,2.00,,직전 거래보다 높았다는 뜻일 뿐,
7,23,00:00:41:00,00:00:42:00,41.00,1.00,,지역 전체가 올랐다는 건 아닙니다,
8,24,00:00:42:00,00:00:44:00,42.00,2.00,7.00,가격은 오르고,비교: 가격 vs 거래 / 가격: 19개월 연속 상승 | 거래: 7월 대비 건수 감소
8,25,00:00:44:00,00:00:46:00,44.00,2.00,,계약 건수는 주춤한,
8,26,00:00:46:00,00:00:49:00,46.00,3.00,,엇갈린 흐름이 이어지고 있습니다,
9,27,00:00:49:00,00:00:52:00,49.00,3.00,6.00,다음 실거래 신고 마감,마무리 — 채널 로고 + 다음 브리핑 안내
9,28,00:00:52:00,00:00:55:00,52.00,3.00,,때 다시 확인하겠습니다,
