컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,강남 아파트 한 채,압구정동 아파트 단지 외경 스톡 + 물음표 그래픽,img-0-cover.png
2,00:00:02:00,00:00:04:00,2.00,2.00,97억 원에 팔렸다고요,"'97억 3,000만원' 대형 숫자 자막 강조",img-2-stat-card.png
3,00:00:04:00,00:00:06:00,4.00,2.00,강남구 압구정동,서울 지도 확대 - 강남구 압구정동 위치 표시,img-stat-card-2.png
4,00:00:06:00,00:00:08:00,6.00,2.00,신현대11차가,신현대11차 단지명 자막 카드,img-stat-card.png
5,00:00:08:00,00:00:10:00,8.00,2.00,97억 3000만원에,"'97억 3,000만원' 숫자 자막 유지",img-stats-index.png
6,00:00:10:00,00:00:12:00,10.00,2.00,거래됐습니다,거래 완료 도장 애니메이션,
7,00:00:12:00,00:00:14:00,12.00,2.00,100억 원에 육박하는,"100억 게이지 바 그래픽, 97.3 지점 표시",img-stats-map-jeonse.png
8,00:00:14:00,00:00:16:00,14.00,2.00,금액인데요,동일 게이지 그래픽 유지,img-stats-map.png
9,00:00:16:00,00:00:18:00,16.00,2.00,"강남권 재건축 대장주,",강남 재건축 단지 항공 스톡,
10,00:00:18:00,00:00:20:00,18.00,2.00,이른바 대표 단지,'재건축 대장주' 자막 설명 카드,img-stats-supply.png
11,00:00:20:00,00:00:22:00,20.00,2.00,가격 흐름에,상승 화살표 그래프 이미지,img-stats-volume.png
12,00:00:22:00,00:00:24:00,22.00,2.00,관심이 쏠리고 있습니다,동일 그래프 유지,
13,00:00:24:00,00:00:26:00,24.00,2.00,다만 전용면적이나,'정보 미확인' 경고 아이콘,
14,00:00:26:00,00:00:28:00,26.00,2.00,거래일자 같은,동일 경고 아이콘 유지,
15,00:00:28:00,00:00:29:00,28.00,1.00,세부 정보는,동일 경고 아이콘 유지,
16,00:00:29:00,00:00:30:00,29.00,1.00,기사에서,동일 경고 아이콘 유지,
17,00:00:30:00,00:00:33:00,30.00,3.00,확인되지 않았습니다,'세부 정보 확인 안 됨' 자막,img-0-cover.png
18,00:00:33:00,00:00:35:00,33.00,2.00,한 건의 거래로,아파트 단지 클로즈업 스톡,
19,00:00:35:00,00:00:37:00,35.00,2.00,단지 전체 시세를,단지 전경 스톡,
20,00:00:37:00,00:00:40:00,37.00,3.00,단정하기는 어렵습니다,'참고용 정보' 자막 카드,img-2-stat-card.png
21,00:00:40:00,00:00:42:00,40.00,2.00,강남권 재건축 시장은,강남 스카이라인 스톡,
22,00:00:42:00,00:00:45:00,42.00,3.00,여전히 주목받고 있는데요,"동일 스카이라인, 자막 강조",img-stat-card-2.png
23,00:00:45:00,00:00:47:00,45.00,2.00,구체적 매매 배경은,'배경 미확인' 자막,img-stat-card.png
24,00:00:47:00,00:00:50:00,47.00,3.00,추가 확인이 필요합니다,채널 로고 아웃트로 화면,
