씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,서울 아파트값,서울 시내 지도 위에 여러 자치구 지점이 차례로 반짝이며 '신고가' 도장이 찍힘
1,2,00:00:01:00,00:00:02:00,1.00,1.00,,여기저기서,
1,3,00:00:02:00,00:00:03:00,2.00,1.00,,신고가가 나왔습니다,
2,4,00:00:03:00,00:00:05:00,3.00,2.00,9.00,영등포구 영등포푸르지오가,"막대: 최근 3년 신고가 / 영등포푸르지오 15억9천만원, 래미안e편한세상 16억3900만원 / 출처: 매일경제 + 두 단지 막대가 순서대로 올라오며 서대문 쪽이 더 높게 표시"
2,5,00:00:05:00,00:00:07:00,5.00,2.00,,15억 9천만원에,
2,6,00:00:07:00,00:00:09:00,7.00,2.00,,서대문구 래미안이편한세상은,
2,7,00:00:09:00,00:00:11:00,9.00,2.00,,16억 3900만원에,
2,8,00:00:11:00,00:00:12:00,11.00,1.00,,거래됐습니다,
3,9,00:00:12:00,00:00:13:00,12.00,1.00,8.00,구로동 우방은,"막대: 최근 3년 신고가 / 구로동 우방 7억4천만원, 강남데시앙포레 25억5천만원 / 출처: 매일경제 + 강남 막대가 압도적으로 길게 올라오며 격차 강조"
3,10,00:00:13:00,00:00:15:00,13.00,2.00,,7억 4천만원에,
3,11,00:00:15:00,00:00:17:00,15.00,2.00,,강남 수서동 데시앙포레는,
3,12,00:00:17:00,00:00:19:00,17.00,2.00,,25억 5천만원까지,
3,13,00:00:19:00,00:00:20:00,19.00,1.00,,올랐습니다,
4,14,00:00:20:00,00:00:21:00,20.00,1.00,8.00,노원구에서도,"막대: 최근 3년 신고가 / 상계주공12단지 5억8천만원, 중계3벽산 7억3500만원 / 출처: 매일경제 + 노원구 두 단지 막대가 나란히 표시"
4,15,00:00:21:00,00:00:22:00,21.00,1.00,,상계주공12단지가,
4,16,00:00:22:00,00:00:24:00,22.00,2.00,,5억 8천만원,
4,17,00:00:24:00,00:00:25:00,24.00,1.00,,중계3벽산이,
4,18,00:00:25:00,00:00:27:00,25.00,2.00,,7억 3500만원에,
4,19,00:00:27:00,00:00:28:00,27.00,1.00,,거래됐습니다,
5,20,00:00:28:00,00:00:30:00,28.00,2.00,8.00,모두 최근 3년 새,"목록: 신고가 발생 지역 / 영등포, 서대문, 구로, 강남, 노원 + 서울 지도 위 다섯 지점이 차례로 켜지며 확산되는 모습 강조"
5,21,00:00:30:00,00:00:32:00,30.00,2.00,,최고가를 기록했습니다,
5,22,00:00:32:00,00:00:34:00,32.00,2.00,,강남뿐 아니라 영등포,
5,23,00:00:34:00,00:00:36:00,34.00,2.00,,구로 노원까지 번졌습니다,
6,24,00:00:36:00,00:00:38:00,36.00,2.00,6.00,강남권에만 그치지 않고,그래픽: 서울 전체 실루엣이 붉게 물들며 '강남권 국한 아님' 문구가 강조됨
6,25,00:00:38:00,00:00:40:00,38.00,2.00,,서울 전역에서 동시에,
6,26,00:00:40:00,00:00:42:00,40.00,2.00,,나타난 움직임입니다,
7,27,00:00:42:00,00:00:44:00,42.00,2.00,8.00,해당 단지 소유자와,"그래픽: 소유자·매수 희망자 아이콘과 돋보기 아이콘이 나타나고, 하단에 '거래 배경 미확인' 자막이 강조됨"
7,28,00:00:44:00,00:00:45:00,44.00,1.00,,매수 희망자는,
7,29,00:00:45:00,00:00:47:00,45.00,2.00,,눈여겨볼 만한데,
7,30,00:00:47:00,00:00:48:00,47.00,1.00,,거래 배경까지는,
7,31,00:00:48:00,00:00:50:00,48.00,2.00,,확인되지 않았습니다,
8,32,00:00:50:00,00:00:52:00,50.00,2.00,6.00,부돌보 브리핑이,부돌보 브리핑 로고 애니메이션과 구독 버튼 아이콘이 강조되며 마무리
8,33,00:00:52:00,00:00:54:00,52.00,2.00,,내일도 시세 변화를,
8,34,00:00:54:00,00:00:56:00,54.00,2.00,,전해드리겠습니다,
9,35,00:00:56:00,00:00:59:00,56.00,3.00,6.00,구독하고 내일 브리핑에서,마무리 — 채널 로고 + 다음 브리핑 안내
9,36,00:00:59:00,00:01:02:00,59.00,3.00,,서울 시세 변화도 확인하세요,
