씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:02:00,0.00,2.00,4.00,서울 구축 아파트가,"타이틀 카드: '서울 구축 아파트, 신축을 앞질렀다' 문구가 확대되며 강하게 등장"
1,2,00:00:02:00,00:00:04:00,2.00,2.00,,신축보다 더 올랐다고요?,
2,3,00:00:04:00,00:00:06:00,4.00,2.00,7.00,뉴스토마토에 따르면,"큰 숫자: 서울 20년 초과 아파트 매매가 상승률 / 1.21% / 8월, 5년 이하 신축 상승폭 추월 / 출처: 뉴스토마토"
2,4,00:00:06:00,00:00:08:00,6.00,2.00,,8월 상승률은 1.21%,
2,5,00:00:08:00,00:00:11:00,8.00,3.00,,5년 이하 신축보다 컸죠,
3,6,00:00:11:00,00:00:13:00,11.00,2.00,8.00,국토교통부 실거래가로,"순위: 노원구 신고가 거래 / 상계주공12(고층) +21.9%, 청솔(시영7) +24.2%, 상계주공13(고층) +19.2% / 출처: 국토교통부 실거래가 신고 자료 + 사진(상계주공12): 상계주공 아파트 단지 전경"
3,7,00:00:13:00,00:00:14:00,13.00,1.00,,직접 확인해보니,
3,8,00:00:14:00,00:00:16:00,14.00,2.00,,노원구 상계주공12가,
3,9,00:00:16:00,00:00:19:00,16.00,3.00,,직전보다 21.9% 오른,
4,10,00:00:19:00,00:00:21:00,19.00,2.00,8.00,5억 8천만원에 거래돼,"앞 순위표에서 상계주공12 항목이 확대되며 5억8천만원 숫자가 커지고, 청솔·상계주공13 항목에도 체크 표시가 붙음"
4,11,00:00:21:00,00:00:23:00,21.00,2.00,,신고가를 새로 썼습니다,
4,12,00:00:23:00,00:00:25:00,23.00,2.00,,청솔과 상계주공13도,
4,13,00:00:25:00,00:00:27:00,25.00,2.00,,비슷하게 올랐습니다,
5,14,00:00:27:00,00:00:29:00,27.00,2.00,8.00,그런데 노원구 전체는,"막대: 노원구 매매 계약 건수 / 8월1~26일 450건, 7월1~26일 대비 -140건 / 출처: 국토교통부 실거래가 신고 자료"
5,15,00:00:29:00,00:00:30:00,29.00,1.00,,매매 건수는,
5,16,00:00:30:00,00:00:33:00,30.00,3.00,,8월 1~26일 450건으로,
5,17,00:00:33:00,00:00:35:00,33.00,2.00,,7월보다 140건 적었습니다,
6,18,00:00:35:00,00:00:37:00,35.00,2.00,8.00,신고가는 그 단지에서,"'신고가' 글자 옆에 '개별 단지·거래 기준'이라는 보조 설명이 붙고, 노원구 전체 지도 위로 물음표가 표시됨"
6,19,00:00:37:00,00:00:39:00,37.00,2.00,,직전 거래보다,
6,20,00:00:39:00,00:00:40:00,39.00,1.00,,높았다는 뜻이죠,
6,21,00:00:40:00,00:00:42:00,40.00,2.00,,노원구 전체가 다,
6,22,00:00:42:00,00:00:43:00,42.00,1.00,,오른 건 아닙니다,
7,23,00:00:43:00,00:00:45:00,43.00,2.00,6.00,가격은 오르는데,상승 화살표와 하락 화살표가 서로 교차하며 화면 중앙에 '엇갈린 신호'라는 문구가 뜸
7,24,00:00:45:00,00:00:46:00,45.00,1.00,,거래는 주춤한,
7,25,00:00:46:00,00:00:49:00,46.00,3.00,,엇갈린 흐름이 이어집니다,
8,26,00:00:49:00,00:00:52:00,49.00,3.00,6.00,지역별 자세한 통계는 부돌보,마무리 — 채널 로고 + 다음 브리핑 안내
8,27,00:00:52:00,00:00:55:00,52.00,3.00,,브리핑에서 계속 확인하세요,
