씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:02:00,0.00,2.00,4.00,성북구 길음동 아파트,서울 지도에서 성북구 길음동 위치가 확대되며 물음표가 강조됨
1,2,00:00:02:00,00:00:04:00,2.00,2.00,,전세가 11억이라고요,
2,3,00:00:04:00,00:00:07:00,4.00,3.00,6.00,롯데캐슬 클라시아 84㎡가,큰 숫자: 길음동 롯데캐슬 클라시아 전세가 / 11억원 / 전용 84㎡ 8월 계약 / 출처: 매일경제 + 사진(롯데캐슬 클라시아): 단지 전경
2,4,00:00:07:00,00:00:08:00,7.00,1.00,,지난달 11억원에,
2,5,00:00:08:00,00:00:10:00,8.00,2.00,,전세 계약됐습니다,
3,6,00:00:10:00,00:00:11:00,10.00,1.00,8.00,래미안 센터피스도,"막대: 서울 외곽 전세가 사례 / 래미안 센터피스 10.5억, 한양수자인 10억 / 출처: 매일경제"
3,7,00:00:11:00,00:00:14:00,11.00,3.00,,10억5000만원에 계약됐고,
3,8,00:00:14:00,00:00:16:00,14.00,2.00,,청량리 한양수자인도,
3,9,00:00:16:00,00:00:18:00,16.00,2.00,,10억원까지 올랐습니다,
4,10,00:00:18:00,00:00:20:00,18.00,2.00,8.00,강북구 미아동에선,"추세: 미아동 한화포레나미아 전세가 / 6월 9.5억, 현재 12억 / 단위: 원 / 출처: 매일경제 + 사진(미아동): 한화포레나미아 단지 전경"
4,11,00:00:20:00,00:00:22:00,20.00,2.00,,9억5000만원 전세가,
4,12,00:00:22:00,00:00:23:00,22.00,1.00,,석 달 만에,
4,13,00:00:23:00,00:00:26:00,23.00,3.00,,12억원 호가로 뛰었습니다,
5,14,00:00:26:00,00:00:27:00,26.00,1.00,7.00,서울 전체 전세가도,큰 숫자: 서울 전세가 누적 상승률 / 7.79% / 2015년 이후 최고 / 출처: 한국부동산원
5,15,00:00:27:00,00:00:29:00,27.00,2.00,,올해 7.79% 올라,
5,16,00:00:29:00,00:00:31:00,29.00,2.00,,2015년 이후,
5,17,00:00:31:00,00:00:33:00,31.00,2.00,,최고 상승률입니다,
6,18,00:00:33:00,00:00:35:00,33.00,2.00,9.00,성북구는 12.84%로,"순위: 자치구별 전세가 상승률 / 성북구 12.84%, 노원구 12.25%, 동남권 6.03% / 출처: 한국부동산원"
6,19,00:00:35:00,00:00:37:00,35.00,2.00,,노원구는 12.25%로,
6,20,00:00:37:00,00:00:39:00,37.00,2.00,,서울 평균 웃돌았고,
6,21,00:00:39:00,00:00:41:00,39.00,2.00,,동남권은 6.03%로,
6,22,00:00:41:00,00:00:42:00,41.00,1.00,,오히려 낮았습니다,
7,23,00:00:42:00,00:00:44:00,42.00,2.00,8.00,마용성이나 한강벨트에,흐름: 전세 10억 시대 확산 / 마용성·한강벨트 > 성북·강북·노원 + 서울 지도에서 마용성 권역이 옅어지고 성북·강북·노원 구역이 차례로 붉게 물듦
7,24,00:00:44:00,00:00:47:00,44.00,3.00,,국한됐던 전세 10억이,
7,25,00:00:47:00,00:00:48:00,47.00,1.00,,서울 중하위권까지,
7,26,00:00:48:00,00:00:50:00,48.00,2.00,,번지고 있습니다,
8,27,00:00:50:00,00:00:52:00,50.00,2.00,4.00,우리 동네 전세는 어떨까요,"화면에 '우리 동네는?' 문구와 채널 로고, 구독 버튼 애니메이션 등장"
8,28,00:00:52:00,00:00:54:00,52.00,2.00,,댓글로 알려주세요,
