씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,4.00,서울 아파트값,큰 숫자: 서울 아파트값 / 85주 / 연속 상승 / 출처: 더퍼블릭 등 + 숫자가 크게 뜬 뒤 강남 쪽만 흐려짐
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,85주째 올랐다는데,
1,3,00:00:03:00,00:00:04:00,3.00,1.00,,강남은 조용합니다,
2,4,00:00:04:00,00:00:05:00,4.00,1.00,6.00,서울 아파트값이,"요약: 오늘 서울 부동산 흐름 / 서울 전체 85주 연속 상승, 강남3구는 상대적 약세, 지역별 거래는 엇갈림"
2,5,00:00:05:00,00:00:07:00,5.00,2.00,,85주 연속,
2,6,00:00:07:00,00:00:09:00,7.00,2.00,,올랐다는,
2,7,00:00:09:00,00:00:10:00,9.00,1.00,,보도가 나왔습니다,
3,8,00:00:10:00,00:00:11:00,10.00,1.00,5.00,그런데 강남3구는,비교: 서울 전체 vs 강남3구 / 서울: 85주 연속 상승 | 강남3구: 상대적 약세
3,9,00:00:11:00,00:00:12:00,11.00,1.00,,상대적으로,
3,10,00:00:12:00,00:00:14:00,12.00,2.00,,약세를 보였다고,
3,11,00:00:14:00,00:00:15:00,14.00,1.00,,보도됐습니다,
4,12,00:00:15:00,00:00:16:00,15.00,1.00,8.00,국토교통부 자료로 보면,"막대: 8월1~27일 계약건수(전월대비 감소) / 강남구 -65건, 송파구 -131건 / 출처: 국토교통부 실거래가 + 두 자치구 막대가 나란히 줄어드는 모션"
4,13,00:00:16:00,00:00:18:00,16.00,2.00,,8월 1~27일 강남구는,
4,14,00:00:18:00,00:00:19:00,18.00,1.00,,77건 계약돼 7월보다,
4,15,00:00:19:00,00:00:20:00,19.00,1.00,,65건 줄었고,
4,16,00:00:20:00,00:00:22:00,20.00,2.00,,송파구도 146건으로,
4,17,00:00:22:00,00:00:23:00,22.00,1.00,,131건 줄었습니다,
5,18,00:00:23:00,00:00:24:00,23.00,1.00,9.00,반면 노원구에서는,"순위: 8~9월 노원구 신고가 상승률 / 청솔 +24.2%, 상계주공12 +21.9%, 상계주공13 +19.2% / 출처: 국토교통부 실거래가 + 순위가 위에서부터 차례로 나타남 + 사진(청솔 아파트): 청솔아파트 단지 전경"
5,19,00:00:24:00,00:00:25:00,24.00,1.00,,신고가 거래가,
5,20,00:00:25:00,00:00:26:00,25.00,1.00,,잇따랐습니다,
5,21,00:00:26:00,00:00:28:00,26.00,2.00,,청솔 아파트 39제곱미터가,
5,22,00:00:28:00,00:00:30:00,28.00,2.00,,5억8천만원에 팔려,
5,23,00:00:30:00,00:00:32:00,30.00,2.00,,직전보다 24% 넘게 올랐습니다,
6,24,00:00:32:00,00:00:33:00,32.00,1.00,8.00,다만 신고가는,"체크: 신고가란 / 같은 단지·같은 면적 비교, 이전 거래보다 높다는 뜻, 지역 전체 상승은 아님"
6,25,00:00:33:00,00:00:34:00,33.00,1.00,,같은 단지,
6,26,00:00:34:00,00:00:35:00,34.00,1.00,,같은 면적의,
6,27,00:00:35:00,00:00:36:00,35.00,1.00,,이전 거래보다,
6,28,00:00:36:00,00:00:37:00,36.00,1.00,,높다는 뜻으로,
6,29,00:00:37:00,00:00:39:00,37.00,2.00,,지역 전체가 올랐다는,
6,30,00:00:39:00,00:00:40:00,39.00,1.00,,의미는 아닙니다,
7,31,00:00:40:00,00:00:41:00,40.00,1.00,7.00,강남은 거래가 줄고,비교: 강남 vs 노원 / 강남: 거래 줄고 상승세 주춤 | 노원: 중저가 단지 신고가 잇따름
7,32,00:00:41:00,00:00:43:00,41.00,2.00,,노원은 신고가가 나온,
7,33,00:00:43:00,00:00:45:00,43.00,2.00,,9월 서울 부동산,
7,34,00:00:45:00,00:00:47:00,45.00,2.00,,우리 동네는 어떨까요,
8,35,00:00:47:00,00:00:50:00,47.00,3.00,8.00,"우리 동네 계약 흐름,",마무리 — 채널 로고 + 다음 브리핑 안내
8,36,00:00:50:00,00:00:52:00,50.00,2.00,,국토교통부 실거래가로,
8,37,00:00:52:00,00:00:55:00,52.00,3.00,,직접 확인해보세요,
