컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,강남·서초·송파 아파트값이,강남 테헤란로 일대 고층 아파트 항공 스톡 + 상단 '강남3구' 타이틀 자막,img-0-cover.png
2,00:00:02:00,00:00:04:00,2.00,2.00,한꺼번에 내렸습니다,같은 항공샷 이어서 + 화면 중앙 파란 하향 화살표 아이콘,img-2-stat-card.png
3,00:00:04:00,00:00:07:00,4.00,3.00,셋이 함께 꺾인 건 21주 만,검은 배경 대형 자막 카드 '21주 만 동반 하락' + 하단 작은 글씨 '화이트페이퍼 등 9월 10일 보도',img-stat-card-2.png
4,00:00:07:00,00:00:09:00,7.00,2.00,강남·서초에 이어,서울 자치구 지도 그래픽: 강남구·서초구가 차례로 파란색으로 칠해짐,img-stat-card.png
5,00:00:09:00,00:00:11:00,9.00,2.00,송파구까지 돌아섰습니다,같은 지도에서 송파구까지 파란색으로 칠해지며 '송파까지' 강조 자막 팝업,img-stats-history.png
6,00:00:11:00,00:00:13:00,11.00,2.00,왜 강남만 꺾였을까요?,"진행자 정면 컷, 우측에 물음표 아이콘",img-stats-index.png
7,00:00:13:00,00:00:15:00,13.00,2.00,매일경제는 세제 개편안을,스톡: 세무 서류와 계산기 클로즈업 + 좌하단 '출처: 매일경제' 자막,img-stats-jeonse.png
8,00:00:15:00,00:00:17:00,15.00,2.00,원인으로 꼽았습니다,같은 스톡 이어서 + 화면 중앙 '세제 개편안' 키워드 카드,img-stats-map-jeonse.png
9,00:00:17:00,00:00:19:00,17.00,2.00,"고가 주택, 그리고",스톡: 강남 고급 아파트 외관 로우앵글,
10,00:00:19:00,00:00:22:00,19.00,3.00,살지 않는 집 한 채 보유자가,자막 카드 '비거주 1주택자 = 집 한 채 있지만 거기 살지 않는 사람',img-stats-map.png
11,00:00:22:00,00:00:24:00,22.00,2.00,대상이라는 설명입니다,자막 카드 '대상: 고가 주택 · 비거주 1주택자',img-stats-supply.png
12,00:00:24:00,00:00:27:00,24.00,3.00,"집을 판 차익에 붙는 세금,",스톡: 아파트 매매 계약서 위 도장 찍는 손,
13,00:00:27:00,00:00:29:00,27.00,2.00,양도소득세 부담이 커지면서,자막 카드 '양도소득세 = 집 팔 때 차익에 매기는 세금',img-stats-volume.png
14,00:00:29:00,00:00:32:00,29.00,3.00,고가 주택 매수 심리가,스톡: 한산한 공인중개사 사무소 외관,
15,00:00:32:00,00:00:34:00,32.00,2.00,위축됐다는 풀이입니다,같은 스톡 + 하단 '매일경제 풀이' 자막,img-0-cover.png
16,00:00:34:00,00:00:35:00,34.00,1.00,다만 서울 전체는,스톡: 서울 한강 너머 아파트 스카이라인 와이드샷,
17,00:00:35:00,00:00:38:00,35.00,3.00,83주 연속 상승 중입니다,빨간 대형 자막 카드 '서울 아파트값 83주 연속 상승',img-2-stat-card.png
18,00:00:38:00,00:00:40:00,38.00,2.00,오름폭이 줄었을 뿐입니다,같은 카드에 '상승폭 축소' 보조 문구 추가,img-stat-card-2.png
19,00:00:40:00,00:00:43:00,40.00,3.00,상승은 외곽 중저가 단지가,스톡: 노원구 상계동 아파트 단지 항공,
20,00:00:43:00,00:00:44:00,43.00,1.00,이끌고 있습니다,서울 지도에서 노원·도봉·강북구가 빨간색으로 칠해짐,
21,00:00:44:00,00:00:46:00,44.00,2.00,구별 하락률은 아직,진행자 정면 컷,
22,00:00:46:00,00:00:48:00,46.00,2.00,기사에 나오지 않았습니다,진행자 정면 컷 + 하단 '구별 하락률 미공개' 자막,img-stat-card.png
23,00:00:48:00,00:00:51:00,48.00,3.00,세제 개편안이 어떻게 확정될지,스톡: 국회의사당 외관 원경,
24,00:00:51:00,00:00:53:00,51.00,2.00,다음 변수로 거론됩니다,자막 카드 '다음 변수: 세제 개편안 최종안',img-stats-history.png
25,00:00:53:00,00:00:55:00,53.00,2.00,매일 부동산 뉴스는,채널 로고 애니메이션,
26,00:00:55:00,00:00:58:00,55.00,3.00,부돌보 브리핑을 구독하고,채널 로고 + 구독 버튼 애니메이션,
27,00:00:58:00,00:01:00:00,58.00,2.00,받아 보세요,구독 버튼 클릭 모션으로 마무리,
