씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,4.00,서울 아파트값이,큰 숫자: 서울 아파트값 / 14.56% / 최근 1년 상승률 / 출처: 아시아투데이 + 숫자가 0에서 차오르고 「올랐습니다」에서 위쪽 화살표
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,1년 새 14.56%,
1,3,00:00:03:00,00:00:04:00,3.00,1.00,,올랐습니다,
2,4,00:00:04:00,00:00:06:00,4.00,2.00,4.00,그런데 계약 건수는,"가격 화살표는 위로, 「계약 건수」 화살표는 아래로 꺾이는 대비 그래픽 + 「오히려 줄었습니다」에서 물음표"
2,5,00:00:06:00,00:00:08:00,6.00,2.00,,오히려 줄었습니다,
3,6,00:00:08:00,00:00:10:00,8.00,2.00,5.00,국토교통부 실거래가,"달력 그래픽 — 「국토교통부 실거래가 신고 자료」 출처 띠가 먼저 뜨고, 8월 1~19일 구간이 칠해짐"
3,7,00:00:10:00,00:00:11:00,10.00,1.00,,신고 자료를 보면,
3,8,00:00:11:00,00:00:13:00,11.00,2.00,,8월 1일부터 19일까지,
4,9,00:00:13:00,00:00:15:00,13.00,2.00,6.00,계약은 940건으로,"막대: 서울 아파트 매매 계약 / 7월 1~19일 1365, 8월 1~19일 940 / 출처: 국토교통부 실거래가 + 8월 막대가 먼저, 7월 막대가 뒤따르고 줄어든 만큼 빗금"
4,10,00:00:15:00,00:00:16:00,15.00,1.00,,7월 같은 기간,
4,11,00:00:16:00,00:00:19:00,16.00,3.00,,1365건보다 줄었습니다,
5,12,00:00:19:00,00:00:21:00,19.00,2.00,12.00,송파구는 104건으로,"막대: 8월 1~19일 줄어든 계약 / 송파구 86, 영등포구 85, 마포구 24 / 출처: 국토교통부 실거래가 + 구 이름이 불릴 때마다 막대가 하나씩 자람 (서울 자치구 모식도에 세 구를 켜도 좋음)"
5,13,00:00:21:00,00:00:23:00,21.00,2.00,,지난달보다 86건,
5,14,00:00:23:00,00:00:25:00,23.00,2.00,,영등포구는 75건으로,
5,15,00:00:25:00,00:00:27:00,25.00,2.00,,85건 줄었고요,
5,16,00:00:27:00,00:00:29:00,27.00,2.00,,마포구도 71건,
5,17,00:00:29:00,00:00:31:00,29.00,2.00,,24건 감소했습니다,
6,18,00:00:31:00,00:00:33:00,31.00,2.00,4.00,그런데도 신고가는,전환 카드 — 「그런데도」 뒤에 「신고가」 글자가 크게 찍힘
6,19,00:00:33:00,00:00:35:00,33.00,2.00,,이어졌습니다,
7,20,00:00:35:00,00:00:38:00,35.00,3.00,12.00,송파구 송파현대힐스테이트,"큰 숫자: 송파현대힐스테이트 84.99㎡ / 16억 5천만원 / 직전 14억 대비 +17.9% / 출처: 국토교통부 실거래가 + 단지 이름 → 면적 → 가격 순으로 등장, 끝에 +17.9% 배지"
7,21,00:00:38:00,00:00:40:00,38.00,2.00,,84.99제곱미터가,
7,22,00:00:40:00,00:00:43:00,40.00,3.00,,16억 5천만원에 거래돼,
7,23,00:00:43:00,00:00:45:00,43.00,2.00,,직전보다 17.9%,
7,24,00:00:45:00,00:00:47:00,45.00,2.00,,올랐습니다,
8,25,00:00:47:00,00:00:49:00,47.00,2.00,6.00,가격은 오르는 곳도,비교: 가격 vs 거래 / 가격: 신고가 이어짐 | 거래: 계약 건수 감소 + 좌우 온도차(따뜻한 색 ↔ 차가운 색)
8,26,00:00:49:00,00:00:50:00,49.00,1.00,,있지만,
8,27,00:00:50:00,00:00:51:00,50.00,1.00,,거래 자체는,
8,28,00:00:51:00,00:00:53:00,51.00,2.00,,주춤한 모습입니다,
9,29,00:00:53:00,00:00:55:00,53.00,2.00,8.00,이재명 대통령이 예고한,마무리 — 채널 로고 + 다음 브리핑 안내
9,30,00:00:55:00,00:00:58:00,55.00,3.00,,"매주 공급 점검, 다음",
9,31,00:00:58:00,00:01:01:00,58.00,3.00,,브리핑에서 짚어드리겠습니다,
