컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:01:00,0.00,1.00,서울 아파트값이,서울 스카이라인 항공 드론샷,
2,00:00:01:00,00:00:03:00,1.00,2.00,84주 연속 올랐습니다,서울 스카이라인 항공 드론샷 + 큰 숫자: 서울 아파트 매매가 / 84주 / 연속 상승·9월 셋째주 0.16% / 출처: 한국부동산원,
3,00:00:03:00,00:00:05:00,3.00,2.00,그런데 강남3구는,강남 아파트 단지 컷,
4,00:00:05:00,00:00:07:00,5.00,2.00,이번주 하락 전환했죠,강남 아파트 단지 컷 + 비교: 서울 vs 강남3구 / 서울: 84주 연속 상승 | 강남3구: 이번주 하락 전환,
5,00:00:07:00,00:00:09:00,7.00,2.00,왜 이런 차이가 날까요,"진행자 클로즈업, 물음표 자막 카드",img-0-cover.png
6,00:00:09:00,00:00:11:00,9.00,2.00,국토교통부 실거래가,국토교통부 실거래가 공개시스템 화면 캡처,
7,00:00:11:00,00:00:13:00,11.00,2.00,신고 자료로 보면,국토교통부 실거래가 공개시스템 화면 캡처,
8,00:00:13:00,00:00:15:00,13.00,2.00,8월 1일부터 18일까지,"달력 그래픽, 8월 1일~18일 구간 하이라이트",img-1-stat-card.png
9,00:00:15:00,00:00:16:00,15.00,1.00,계약 기준으로,"달력 그래픽, 8월 1일~18일 구간 하이라이트",img-2-stat-card.png
10,00:00:16:00,00:00:18:00,16.00,2.00,송파구는 99건으로,"지도 그래픽 송파구 표시 + 막대: 지역별 계약 건수 변화(8월1~18일) / 송파구 -90건, 강남구 -46건 / 출처: 국토교통부 실거래가",img-stat-card.png
11,00:00:18:00,00:00:20:00,18.00,2.00,7월 같은 기간보다,"지도 그래픽 송파구 표시 + 막대: 지역별 계약 건수 변화(8월1~18일) / 송파구 -90건, 강남구 -46건 / 출처: 국토교통부 실거래가",img-stats-history.png
12,00:00:20:00,00:00:21:00,20.00,1.00,90건 줄었고,"지도 그래픽 송파구 표시 + 막대: 지역별 계약 건수 변화(8월1~18일) / 송파구 -90건, 강남구 -46건 / 출처: 국토교통부 실거래가",img-stats-index.png
13,00:00:21:00,00:00:23:00,21.00,2.00,강남구도 57건으로,"지도 그래픽 강남구 표시 + 막대: 지역별 계약 건수 변화(8월1~18일) / 송파구 -90건, 강남구 -46건 / 출처: 국토교통부 실거래가",img-stats-jeonse.png
14,00:00:23:00,00:00:25:00,23.00,2.00,46건 줄었습니다,"지도 그래픽 강남구 표시 + 막대: 지역별 계약 건수 변화(8월1~18일) / 송파구 -90건, 강남구 -46건 / 출처: 국토교통부 실거래가",img-stats-map-jeonse.png
15,00:00:25:00,00:00:27:00,25.00,2.00,반면 노원구에서는,노원구 상계동 아파트 단지 컷,
16,00:00:27:00,00:00:29:00,27.00,2.00,"상계주공12, 41.3㎡가",노원구 상계주공12 단지 사진 + 큰 숫자: 상계주공12 41.3㎡ / 5.8억 / 직전거래 대비 +21.9%(2026-09-09 계약) / 출처: 국토교통부 실거래가,
17,00:00:29:00,00:00:31:00,29.00,2.00,5.8억에 거래되며,노원구 상계주공12 단지 사진 + 큰 숫자: 상계주공12 41.3㎡ / 5.8억 / 직전거래 대비 +21.9%(2026-09-09 계약) / 출처: 국토교통부 실거래가,
18,00:00:31:00,00:00:33:00,31.00,2.00,직전보다 21.9%,노원구 상계주공12 단지 사진 + 큰 숫자: 상계주공12 41.3㎡ / 5.8억 / 직전거래 대비 +21.9%(2026-09-09 계약) / 출처: 국토교통부 실거래가,
19,00:00:33:00,00:00:34:00,33.00,1.00,오른 신고가였고,노원구 상계주공12 단지 사진 + 큰 숫자: 상계주공12 41.3㎡ / 5.8억 / 직전거래 대비 +21.9%(2026-09-09 계약) / 출처: 국토교통부 실거래가,
20,00:00:34:00,00:00:36:00,34.00,2.00,강북구 대우아파트도,강북구 대우아파트 단지 사진 + 큰 숫자: 강북구 대우 84.93㎡ / 7.5억 / 직전거래 대비 +21.8%(2026-08-26 계약) / 출처: 국토교통부 실거래가,
21,00:00:36:00,00:00:39:00,36.00,3.00,"7.5억, 21.8% 올랐습니다",강북구 대우아파트 단지 사진 + 큰 숫자: 강북구 대우 84.93㎡ / 7.5억 / 직전거래 대비 +21.8%(2026-08-26 계약) / 출처: 국토교통부 실거래가,
22,00:00:39:00,00:00:41:00,39.00,2.00,강남권은 거래·가격 모두,"서울 지도 그래픽, 강남·송파 표시",img-stats-map.png
23,00:00:41:00,00:00:42:00,41.00,1.00,주춤한데,"서울 지도 그래픽, 강남·송파 파란색 표시",img-stats-supply.png
24,00:00:42:00,00:00:45:00,42.00,3.00,외곽에선 신고가 거래가,"서울 지도 그래픽, 노원·강북 빨간색 표시",img-stats-volume.png
25,00:00:45:00,00:00:47:00,45.00,2.00,이어지는 온도차입니다,"서울 지도 그래픽 전체 + 목록: 지역별 온도차 / 강남·송파: 거래·가격 둔화, 노원·강북: 신고가 거래",img-0-cover.png
26,00:00:47:00,00:00:49:00,47.00,2.00,다음주 발표될 통계에서,"달력 그래픽, '다음 주 발표 예정' 자막",img-1-stat-card.png
27,00:00:49:00,00:00:51:00,49.00,2.00,최장 상승 기록 경신 여부가,한국부동산원 로고 + 통계 발표 예고 화면,img-2-stat-card.png
28,00:00:51:00,00:00:55:00,51.00,4.00,확인될 예정입니다,한국부동산원 로고 + 통계 발표 예고 화면,img-stat-card.png
